"points","all_attributes","date_day_period_nswprice","date_day_period_nswdemand","date_day_period_vicprice","date_day_period_vicdemand","date_day_period_transfer","date_day_nswprice_nswdemand","date_day_nswprice_vicprice","date_day_nswprice_vicdemand","date_day_nswprice_transfer","date_day_nswdemand_vicprice","date_day_nswdemand_vicdemand","date_day_nswdemand_transfer","date_day_vicprice_vicdemand","date_day_vicprice_transfer","date_day_vicdemand_transfer","date_period_nswprice_nswdemand","date_period_nswprice_vicprice","date_period_nswprice_vicdemand","date_period_nswprice_transfer","date_period_nswdemand_vicprice","date_period_nswdemand_vicdemand","date_period_nswdemand_transfer","date_period_vicprice_vicdemand","date_period_vicprice_transfer","date_period_vicdemand_transfer","date_nswprice_nswdemand_vicprice","date_nswprice_nswdemand_vicdemand","date_nswprice_nswdemand_transfer","date_nswprice_vicprice_vicdemand","date_nswprice_vicprice_transfer","date_nswprice_vicdemand_transfer","date_nswdemand_vicprice_vicdemand","date_nswdemand_vicprice_transfer","date_nswdemand_vicdemand_transfer","date_vicprice_vicdemand_transfer","day_period_nswprice_nswdemand","day_period_nswprice_vicprice","day_period_nswprice_vicdemand","day_period_nswprice_transfer","day_period_nswdemand_vicprice","day_period_nswdemand_vicdemand","day_period_nswdemand_transfer","day_period_vicprice_vicdemand","day_period_vicprice_transfer","day_period_vicdemand_transfer","day_nswprice_nswdemand_vicprice","day_nswprice_nswdemand_vicdemand","day_nswprice_nswdemand_transfer","day_nswprice_vicprice_vicdemand","day_nswprice_vicprice_transfer","day_nswprice_vicdemand_transfer","day_nswdemand_vicprice_vicdemand","day_nswdemand_vicprice_transfer","day_nswdemand_vicdemand_transfer","day_vicprice_vicdemand_transfer","period_nswprice_nswdemand_vicprice","period_nswprice_nswdemand_vicdemand","period_nswprice_nswdemand_transfer","period_nswprice_vicprice_vicdemand","period_nswprice_vicprice_transfer","period_nswprice_vicdemand_transfer","period_nswdemand_vicprice_vicdemand","period_nswdemand_vicprice_transfer","period_nswdemand_vicdemand_transfer","period_vicprice_vicdemand_transfer","nswprice_nswdemand_vicprice_vicdemand","nswprice_nswdemand_vicprice_transfer","nswprice_nswdemand_vicdemand_transfer","nswprice_vicprice_vicdemand_transfer","nswdemand_vicprice_vicdemand_transfer"
"48","0.9999999999999998","0.9999999999999998","0.9999999999999998","1.0","1.0","0.9999999999999998","0.9999999999999998","1.0","1.0","1.0","0.9999999999999998","0.9999999999999998","1.0","1.0","1.0","1.0","0.345808096630465","0.2914955212104335","0.2914955212104335","0.29149552121043343","0.3458080966304651","0.3458080966304651","0.3458080966304651","0.2736775387542931","0.2736775387542931","0.2736775387542931","0.2189037408335654","0.2189037408335654","0.2189037408335654","0.10266029657477024","0.10266029657477024","0.10266029657477024","0.20108575837742504","0.20108575837742504","0.20108575837742504","0.0","0.9999999999999999","1.0","1.0","0.9999999999999998","0.9999999999999999","1.0","1.0","0.9999999999999998","0.9999999999999998","0.9999999999999998","0.9999999999999998","0.9999999999999998","1.0","1.0","1.0","1.0","0.9999999999999998","0.9999999999999998","0.9999999999999998","1.0","0.34580809663046497","0.345808096630465","0.34580809663046497","0.29149552121043343","0.2914955212104335","0.2914955212104335","0.345808096630465","0.3458080966304651","0.3458080966304651","0.2736775387542931","0.2189037408335654","0.2189037408335654","0.2189037408335654","0.10266029657477024","0.20108575837742504"
"96","0.9999999999999998","0.9999999999999998","1.0","0.9999999999999998","0.9999999999999998","0.9999999999999998","0.9999999999999998","1.0","1.0","1.0","0.9999999999999998","0.9999999999999998","0.9999999999999998","1.0","1.0","1.0","0.5310672514619882","0.3488835725677831","0.3488835725677831","0.3488835725677831","0.5165387426900584","0.5165387426900584","0.5165387426900584","0.3343550637958533","0.3343550637958533","0.3343550637958533","0.24908791866028707","0.24908791866028707","0.24908791866028704","0.10602239500265817","0.10602239500265817","0.10602239500265817","0.2004419191919192","0.2004419191919192","0.2004419191919192","0.0","1.0","0.9999999999999998","0.9999999999999998","0.9999999999999998","1.0","0.9999999999999998","1.0","1.0","0.9999999999999998","0.9999999999999998","0.9999999999999998","1.0","0.9999999999999998","1.0","1.0","1.0","0.9999999999999998","0.9999999999999998","0.9999999999999998","1.0","0.5310672514619882","0.5310672514619882","0.5310672514619882","0.34888357256778313","0.34888357256778313","0.34888357256778313","0.5165387426900585","0.5165387426900584","0.5165387426900585","0.3343550637958533","0.24908791866028704","0.24908791866028707","0.24908791866028707","0.10602239500265817","0.2004419191919192"
"144","0.9999999999999998","0.9999999999999999","0.9999999999999998","0.9999999999999999","0.9999999999999998","0.9999999999999998","0.9999999999999998","0.9999999999999999","0.9999999999999999","0.9999999999999999","0.9999999999999998","0.9999999999999998","0.9999999999999998","0.9999999999999999","0.9999999999999999","0.9999999999999999","0.9999999999999998","0.9999999999999998","0.9999999999999998","0.9999999999999998","0.3663419913419913","0.3663419913419913","0.3663419913419913","0.30274170274170265","0.3027417027417027","0.30274170274170265","0.957070707070707","0.957070707070707","0.957070707070707","0.957070707070707","0.957070707070707","0.957070707070707","0.2097513597513597","0.20975135975135972","0.20975135975135972","0.0","0.9999999999999998","0.9999999999999998","0.9999999999999998","0.9999999999999999","0.9999999999999998","0.9999999999999998","0.9999999999999998","0.9999999999999998","0.9999999999999998","0.9999999999999998","0.9999999999999998","0.9999999999999998","0.9999999999999996","0.9999999999999999","0.9999999999999999","0.9999999999999999","0.9999999999999998","0.9999999999999998","0.9999999999999998","0.9999999999999999","0.9999999999999998","0.9999999999999998","0.9999999999999998","0.9999999999999998","0.9999999999999998","0.9999999999999998","0.3663419913419913","0.3663419913419913","0.3663419913419913","0.30274170274170265","0.957070707070707","0.957070707070707","0.957070707070707","0.957070707070707","0.2097513597513597"
"192","1.0","1.0","0.9999999999999999","0.9999999999999998","1.0","0.9999999999999999","1.0","1.0","1.0","0.9999999999999999","0.9999999999999998","1.0","0.9999999999999998","1.0","1.0","1.0","0.8657407407407407","0.753968253968254","0.753968253968254","0.7539682539682538","0.8503968253968255","0.8503968253968255","0.8503968253968255","0.7277777777777776","0.7277777777777777","0.7277777777777777","0.6343915343915343","0.6343915343915343","0.6343915343915343","0.28809523809523807","0.28809523809523807","0.28809523809523807","0.5579365079365078","0.557936507936508","0.5579365079365078","0.0","1.0","1.0","1.0","0.9999999999999998","0.9999999999999998","1.0","0.9999999999999999","1.0","0.9999999999999998","1.0","1.0","1.0","0.9999999999999998","1.0","0.9999999999999998","1.0","1.0","1.0","1.0","1.0","0.8657407407407407","0.8657407407407406","0.8657407407407407","0.7539682539682538","0.753968253968254","0.753968253968254","0.8503968253968253","0.8503968253968255","0.8503968253968253","0.7277777777777776","0.6343915343915343","0.6343915343915343","0.6343915343915343","0.28809523809523807","0.5579365079365078"
"240","0.9999999999999999","0.9999999999999999","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.5894764957264959","0.5210336538461539","0.5210336538461539","0.5210336538461539","0.4609375","0.4609375","0.4609375","0.3908253205128205","0.3908253205128205","0.3908253205128205","0.5064102564102564","0.5064102564102564","0.5064102564102564","0.39342948717948717","0.39342948717948717","0.39342948717948717","0.274372329059829","0.274372329059829","0.274372329059829","0.0","0.9999999999999999","1.0","0.9999999999999999","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0000000000000002","1.0000000000000002","1.0","1.0","0.9999999999999999","1.0","1.0","1.0","1.0","1.0","0.5894764957264957","0.5894764957264959","0.5894764957264959","0.5210336538461539","0.5210336538461539","0.5210336538461539","0.46093749999999994","0.4609375","0.4609375","0.3908253205128205","0.5064102564102564","0.5064102564102564","0.5064102564102564","0.39342948717948717","0.274372329059829"
"288","0.9999999999999998","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.8159722222222221","0.8015232974910395","0.8015232974910395","0.8015232974910395","0.7786458333333334","0.7786458333333334","0.7786458333333333","0.4825466476913346","0.4825466476913346","0.4825466476913346","0.6418675108932462","0.6418675108932462","0.6418675108932462","0.5308942125237192","0.5308942125237192","0.5308942125237192","0.5756432725419918","0.5756432725419918","0.5756432725419918","0.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.8159722222222221","0.8159722222222221","0.8159722222222221","0.8015232974910395","0.8015232974910395","0.8015232974910395","0.7786458333333335","0.7786458333333334","0.7786458333333334","0.4825466476913346","0.6418675108932461","0.6418675108932462","0.6418675108932462","0.5308942125237192","0.5756432725419918"
"336","1.0000000000000002","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.4820692994939912","0.3166480301798139","0.3166480301798139","0.31664803017981386","0.3239474620493359","0.3239474620493359","0.3239474620493359","0.12281670732809255","0.12281670732809255","0.12281670732809255","0.42922723524893824","0.42922723524893824","0.42922723524893835","0.24087306293485133","0.24087306293485133","0.24087306293485133","0.29037623113761635","0.29037623113761635","0.29037623113761635","0.0","1.0","1.0000000000000002","1.0000000000000002","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.4820692994939912","0.48206929949399124","0.48206929949399124","0.31664803017981386","0.3166480301798139","0.31664803017981386","0.3239474620493359","0.3239474620493359","0.3239474620493359","0.12281670732809255","0.42922723524893835","0.42922723524893835","0.42922723524893824","0.24087306293485133","0.29037623113761635"
"384","1.0000000000000002","1.0","1.0000000000000002","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.5436921296296297","0.46516203703703707","0.46516203703703707","0.46516203703703707","0.4784143518518519","0.4784143518518519","0.478414351851852","0.3935378086419753","0.3935378086419753","0.3935378086419753","0.19068287037037035","0.19068287037037035","0.19068287037037035","0.1169560185185185","0.1169560185185185","0.11695601851851851","0.12631172839506175","0.12631172839506172","0.12631172839506175","0.0","1.0000000000000002","1.0","1.0","1.0","1.0","1.0000000000000002","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.5436921296296298","0.5436921296296298","0.5436921296296297","0.46516203703703707","0.46516203703703707","0.46516203703703707","0.4784143518518519","0.4784143518518519","0.4784143518518519","0.3935378086419753","0.19068287037037038","0.19068287037037038","0.19068287037037038","0.1169560185185185","0.12631172839506175"
"432","0.9999999999999997","0.9999999999999999","0.9999999999999998","0.9999999999999999","0.9999999999999999","0.9999999999999999","0.9999999999999998","0.9999999999999998","0.9999999999999998","0.9999999999999999","0.9999999999999999","0.9999999999999999","0.9999999999999999","0.9999999999999999","0.9999999999999999","0.9999999999999999","0.40794755086951084","0.2687153708024851","0.2687153708024851","0.2687153708024851","0.3215277977830911","0.3215277977830911","0.32152779778309115","0.1308907645870743","0.1308907645870743","0.1308907645870743","0.21102564841221821","0.21102564841221821","0.21102564841221827","0.13782460621541076","0.13782460621541076","0.13782460621541076","0.18346072716913608","0.18346072716913608","0.18346072716913608","0.0","0.9999999999999998","0.9999999999999999","0.9999999999999999","0.9999999999999999","0.9999999999999998","0.9999999999999998","0.9999999999999998","0.9999999999999997","0.9999999999999999","0.9999999999999998","0.9999999999999998","0.9999999999999998","0.9999999999999998","0.9999999999999999","0.9999999999999999","0.9999999999999998","0.9999999999999999","0.9999999999999999","0.9999999999999999","0.9999999999999999","0.4079475508695108","0.4079475508695108","0.40794755086951084","0.2687153708024851","0.26871537080248503","0.2687153708024851","0.3215277977830911","0.3215277977830911","0.3215277977830911","0.1308907645870743","0.21102564841221827","0.21102564841221821","0.21102564841221821","0.13782460621541076","0.18346072716913608"
"480","0.9999999999999999","0.9999999999999999","0.9999999999999998","1.0","1.0","1.0","0.9999999999999998","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.6279491833030852","0.3956442831215971","0.3956442831215971","0.3956442831215971","0.5589836660617059","0.5589836660617059","0.5589836660617059","0.29038112522686027","0.29038112522686027","0.29038112522686027","0.3294010889292196","0.3294010889292196","0.3294010889292196","0.10526315789473685","0.10526315789473685","0.10526315789473685","0.25136116152450094","0.2513611615245009","0.25136116152450094","0.0","0.9999999999999998","1.0","1.0","0.9999999999999999","0.9999999999999998","1.0","0.9999999999999998","1.0","1.0","1.0","0.9999999999999999","0.9999999999999999","0.9999999999999999","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.6279491833030852","0.6279491833030852","0.6279491833030852","0.3956442831215971","0.3956442831215971","0.39564428312159705","0.5589836660617059","0.5589836660617059","0.5589836660617059","0.29038112522686027","0.3294010889292196","0.3294010889292196","0.3294010889292196","0.10526315789473685","0.25136116152450094"
